56	12	2,24	26,88
55	10	2,257	22,57
54	9	2,248	20,232
53	8	2,167	17,336
52	6	2,304	13,824
51	4	3,001	12,004
50	4	2,407	9,628
48	4	1,136	4,544
44	5	1,1	5,5
42	10	1,134	11,34
41	12	1,122	13,464
40	15	1,104	16,56
39	18	1,054	18,972
38	20	1,075	21,5
37	22	1,079	23,738
36	17	1,582	26,894
35	26	1,117	29,042
			
			
			
			
			
			
			
			
			
			
			
			
			
