1000.000	14.260
1100.000	15.060
1200.000	25.180
1300.000	18.000
1400.000	18.440
1500.000	170.920
1600.000	148.000
1700.000	61.520
1800.000	21.860
1900.000	21.380
2000.000	23.640
2100.000	25.880
2200.000	34.940
2300.000	55.520
2400.000	92.280
2500.000	154.660
2600.000	278.900
2700.000	505.860
2800.000	662.640
2900.000	854.820
3000.000	864.500
3100.000	781.680
3200.000	639.960
3300.000	667.500
3400.000	652.620
3500.000	693.420
3600.000	796.040
3700.000	1113.880
3800.000	1848.440
3900.000	1933.800
4000.000	240.520
